"date","pricetoearnings","pricetotangiblebook","adjdilutedeps","dividendyield","fcf_yield","pricetorevenue","pricetoearnings_10yavg","pricetotangiblebook_10yavg","ebitmargin","ebitdamargin","profitmargin","freecashflow","totaloperatingincome","roa","roe_short","roe_long","roe_ratio","fcf_margin_short","fcf_margin_long","fcf_margin_ratio","ebitdagrowth","ebitgrowth","epsgrowth","tangbookvaluepershare","revenuegrowth_short","revenuegrowth_long","revenuegrowth_ratio","fcffgrowth_short","fcffgrowth_long","fcffgrowth_ratio","ltdebttoequity","ebittointerestex","netdebttoebitda_short","netdebttoebitda_long","netdebttoebitda_ratio"
2016-04-01,178.9976,27.0796,1.78,0,-2.57267361718427,2.8652,10.8917744703119,10.42164408867,0.041804,0.104592,0.028187,-1242601357.1,1.285e+09,0.057871,0.179663529213695,0.132221155555836,1.35881076260768,0.676066428850496,-0.561513532492129,-1.20400736532556,0.615854,1.739224,8.368421,26.4265010351967,0.275383213458963,0.270159328429453,1.01933631187151,-1.48016955240497,-29.1561760120008,0.0507669301967353,0.4966,10.9569,-1.0114376618931,-0.874295206173038,1.15686058296071
2016-01-01,244.8892,26.0269,1.07,0,-2.44853879230769,2.5176,14.9011938518455,10.0165101600985,0.03955,0.102273,0.017612,-1177747159.1,1.071e+09,0.035925,0.157404349646185,0.124241084476595,1.26692672000813,0.279062215868754,0.0437610450096708,6.37695502488763,0.920696,8.216,9.916667,22.8087318087318,0.266780208135969,0.270214159015003,0.987291743365519,-1.0402826646098,-26.7205474987845,0.0389319367298564,0.557,9.8462,-0.95551347199459,-0.912855371494701,1.04673040421512
2015-10-01,540.9388,33.4961,1.01,0,0.756983277777778,3.0129,32.9154324518382,12.8910483374384,0.029038,0.078051,0.013484,361081023.5,1.108e+09,0.024199,0.120962842448375,0.11535473475241,1.04861618994661,-0.461275205440851,0.671600884518035,-0.686829359630577,0.487207,1.092742,1.148936,20.1781970649895,0.251020043365701,0.269912847719505,0.930004056815266,-0.477943933021799,-24.0861338824718,0.0198431153523403,0.6147,9.1053,-0.922331672916216,-0.952787186028452,0.968035345606205
2015-07-01,745.6654,27.4776,0.17,0,0.937992309414226,2.4315,45.3727835854499,10.574815270936,0.013802,0.076859,0.003115,448360323.9,4.06e+08,0.006485,0.0653513686008759,0.106421121715693,0.614082689106248,-3.10112123718206,1.29179715353671,-2.40062553837632,1.984686,1.589226,1.178947,18.6213389121339,0.214703076681386,0.26963051276267,0.796286275175273,0.641765681850671,-21.4370905377543,-0.0299371633814026,0.6632,3.0172,-1.0429046868936,-0.992769606455526,1.0505002168802
2015-04-01,761.97274,25.0609,0.19,0,-0.333929151680672,2.1567,46.3650643170948,9.64474291871921,0.020013,0.084882,0.003968,-158950276.2,4.64e+08,0.008417,0.00455989876865882,0.0983013100414442,0.046386958289125,-1.00653675319681,1.87447244565281,-0.53697068502187,0.763441,65.285714,1.703704,17.3214285714286,0.19094738586583,0.269741449548012,0.707890412043783,0.58120042576585,-18.9582071860064,-0.0306569297435916,0.7011,4.0702,-1.10697969901557,-1.03147939517988,1.07319613381372
2015-01-01,778.28008,23.439,0.33,0,-2.46697388623656,1.8815,47.3573450487398,9.02055110837438,0.005502,0.068275,-0.002509,-1147142857.1,2.55e+08,-0.005339,-0.0479871906507304,0.0917129283788561,-0.523232563815873,3.20775545735159,2.39804812114827,1.33765266387382,0.335917,-0.172185,-1.521739,15.8752688172043,0.174504614320923,0.270593657518137,0.644895434436509,0.278137463952878,-16.7961036934457,-0.0165596419877673,0.7594,1.087,-1.16266720712716,-1.0680818737955,1.08855625739208
2014-10-01,794.58742,19.3185,0.47,0,-1.71159267099567,1.6112,48.3496257803848,7.43476754926108,0.016912,0.063966,0.007297,-790755814,5.91e+08,0.013719,-0.0595212370620375,0.0846923588548123,-0.702793473541981,11.4644552148808,2.99026983692815,3.83391996043343,0.300971,0.033333,-0.096154,16.0649350649351,0.178779657036089,0.270913118869758,0.65991509669946,0.0279988487536609,-14.3311966223892,-0.00195369929611594,0.7695,6.7027,-1.21260256247329,-1.10704202640258,1.09535368446105
2014-07-01,810.89476,21.3149,0.39,0,-5.35442968984881,1.7513,49.3419065120298,8.20308651477833,-0.028864,0.031731,-0.021235,-2479100946.4,-5.44e+08,-0.050089,-0.0545377866749654,0.0762768863116316,-0.7149975479092,19.8455010477916,3.68269598157708,5.38885130542135,-0.201711,-36.125,-9.555556,15.1274298056156,0.189177171427536,0.270014970096711,0.700617344881947,-0.202476540174098,-11.3315481481233,0.0178683916378744,0.2998,-12.1224,-1.28379754947796,-1.14932569499331,1.11700065096469
2014-04-01,827.2021,18.8926,0.31,0,-3.23258616529284,1.8313,50.3341872436748,7.27085899014778,0.000362,0.057704,-0.006515,-1490222222.2,-1.5e+07,-0.015778,-0.0265831580721002,0.068260114408504,-0.389439108071409,29.2089983545506,4.34470960743422,6.72288852276139,0.398496,-0.829268,-12.5,17.1908893709328,0.205951965853277,0.269228086036495,0.764972068424392,-0.0537749501887962,-8.38400740366992,0.0064139912573619,0.2942,0.1556,-1.41680343750489,-1.19139645454043,1.18919561335391
2014-01-01,524.7294,20.5106,0.23,0,-2.51029202286325,2.015,31.9291112436261,7.89354987684729,0.007649,0.058812,0.005471,-1174816666.7,1.46e+08,0.013203,-0.000757345207316691,0.0622628836695461,-0.0121636705960524,31.2760154645991,4.85911009097025,6.43657272197222,0.44403,0.451923,0.277778,16.3995726495727,0.217304418489038,0.269810904309866,0.805395241696655,0.147049572972067,-6.01771899890867,-0.0244360982955062,0.3047,3.5952,-1.45091559049954,-1.23031078437715,1.17930819507046
