date,open,high,low,close,volume,R_t1
8/17/18,1885.8,1888,1855.55,1882.22,4104300,-0.203068717
8/10/18,1888.51,1899.5,1878.21,1886.3,3639927,-0.23199385
8/3/18,1837.74,1841,1821.5,1823.29,3460487,-0.265284184
7/27/18,1876.05,1880.05,1806.53,1817.27,9680959,-0.213132886
7/20/18,1825.01,1834.84,1810.06,1813.7,3891566,-0.226966974
7/13/18,1803.93,1815.3,1795.22,1813.03,4386679,-0.285957761
7/6/18,1696,1715.27,1691.67,1710.63,2650262,-0.237006249
6/29/18,1717,1723.41,1694.32,1699.8,4543508,-0.276891399
6/22/18,1742.62,1743,1711.9,1715.67,4075124,-0.318359591
6/15/18,1714,1720.87,1708.52,1715.97,4777646,-0.319125626
6/8/18,1681.12,1689.44,1673.01,1683.99,2955110,-0.299793942
6/1/18,1637.03,1646.73,1635.09,1641.54,3313385,-0.292128124
5/25/18,1603,1614.12,1600.45,1610.15,2698400,-0.278110735
5/18/18,1581.33,1583.59,1572.1,1574.37,2642584,-0.2466828
5/11/18,1610.99,1611.1,1597.89,1602.91,2263900,-0.295107024
5/4/18,1562.45,1584.9,1562.19,1580.95,3443567,-0.288181157
4/27/18,1634.01,1638.1,1567.39,1572.62,13053241,-0.2931541
4/20/18,1561.2,1561.2,1516.09,1527.49,5541622,-0.279242417
4/13/18,1449.14,1459.78,1424.52,1430.79,3685267,-0.313029865
4/6/18,1429.97,1452.5,1400.26,1405.23,5882257,-0.286280538
3/23/18,1539.01,1549.02,1495.36,1495.56,8006033,-0.338321431
3/16/18,1583.45,1589.44,1567.5,1571.68,5425012,-0.388329685
3/9/18,1563.5,1578.94,1559.08,1578.89,4534250,-0.395081355
3/2/18,1469.1,1501.05,1455.01,1500.25,6587564,-0.342249625
2/23/18,1495.34,1500,1486.5,1500,4418103,-0.356066667
2/16/18,1457.37,1465.8,1446.56,1448.69,4472564,-0.32473476
2/9/18,1373.49,1383.5,1265.93,1339.6,14141524,-0.294371454
2/2/18,1477.39,1498,1414,1429.95,11125722,-0.329717822
1/26/18,1392.01,1402.53,1380.91,1402.05,4857310,-0.30958953
1/19/18,1312,1313,1292.99,1294.58,4578536,-0.237142548
1/12/18,1273.39,1305.76,1273.39,1305.2,5443730,-0.218479926
1/5/18,1217.51,1229.14,1210,1229.14,3544743,-0.165538507
12/29/17,1182.35,1184,1167.5,1169.47,2688391,-0.143364088
12/22/17,1172.08,1174.62,1167.83,1168.36,1585054,-0.16227875
